song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
He's a Bully,https://phineasandferb.fandom.com/wiki/He%27s_a_Bully,Raging Bully,Hard rock,0:47 (episode)1:12 (soundtrack),8,281,6,"Jeff ""Swampy"" MarshMartin OlsonDan PovenmireWendy GriebKent Osborne",Dan Povenmire,2008-02-04,105a,Buford challenges Phineas to a thumb-wrestling competition. Phineas receives training by guest star Evander Holyfield. Dr. Doofenshmirtz goes to extreme measures to get people to attend his birthday and clean up afterwards.Guest voice: Michael Buffer as the announcer.
It's Going So Badly,https://phineasandferb.fandom.com/wiki/It%27s_Going_So_Badly,Raging Bully,Aria,0:28,8,281,6,"Jeff ""Swampy"" MarshMartin OlsonDan PovenmireWendy GriebKent Osborne",Dan Povenmire,2008-02-04,105a,Buford challenges Phineas to a thumb-wrestling competition. Phineas receives training by guest star Evander Holyfield. Dr. Doofenshmirtz goes to extreme measures to get people to attend his birthday and clean up afterwards.Guest voice: Michael Buffer as the announcer.
She's Candace,https://phineasandferb.fandom.com/wiki/She%27s_Candace,Candace Loses Her Head,"Show Tune, Swing",0:36,8.2,497,7,"Jeff ""Swampy"" MarshMartin OlsonDan PovenmireKyle BakerPatrick Ventura",Dan Povenmire,2008-02-05,101b,"Phineas and Ferb remodel Mount Rushmore for Candace's 15th Birthday, while Agent P stops Doofenshmirtz from making a tunnel to China."
Phinedroids and Ferbots,https://phineasandferb.fandom.com/wiki/Phinedroids_and_Ferbots,"I, Brobot","Synthpop, Disco, Electro, Tech House",1:08,8,263,8,Martin OlsonKent OsborneAliki Theofilopoulos Grafft,Dan Povenmire,2008-02-06,110b,Phineas and Ferb build robot versions of themselves (Phinedroids and Ferbots) to help out with their Big Ideas. Dr. Doofenshmirtz regrets all the messages he left on his girlfriend's answering machine.
Forever Summer,https://phineasandferb.fandom.com/wiki/Forever_Summer,Run Away Runway,NA,0:35 (Designing)0:30 (Catwalk),8.3,270,9,Martin OlsonBobby GaylorSherm CohenAntoine Guilbaud,Dan Povenmire,2008-02-07,112a,"Phineas and Ferb join Gaston Le Mode's runway, and their outfits become the newest fashion trend. Dr. Doofenshmirtz creates clones of himself so they can wait in line for him.Guest voice: French Stewart as Gaston Le Mode."
On the Trail,https://phineasandferb.fandom.com/wiki/On_the_Trail,The Magnificent Few,Country,0:33,8,302,10,"Jeff ""Swampy"" MarshMartin OlsonDan PovenmireMike DiederichChong Lee",Dan Povenmire,2008-02-08,103a,A visit to a dude ranch turns into a stampede/cattle drive through town and the cows become acrobats at a water park. Dr. Doofenshmirtz starts an aluminum siding business.
In the Mall,https://phineasandferb.fandom.com/wiki/In_the_Mall,S'Winter,"Country, Western",1:00,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
S'Winter,https://phineasandferb.fandom.com/wiki/S%27Winter_(song),S'Winter,Holiday,0:39,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
E.V.I.L. B.O.Y.S.,https://phineasandferb.fandom.com/wiki/E.V.I.L._B.O.Y.S.,Phineas and Ferb Musical Cliptastic Countdown,"Blues rock, hard rock",1:49,NA,NA,NA,Jon Colton BarryScott Peterson,Dan Povenmire,2009-10-16,211,"Major Monogram and Heinz Doofenshmirtz host a Top 10 musical countdown from the show, voted by users on DisneyChannel.com and DisneyXD.com, which started on September 1."
My Undead Mummy,https://phineasandferb.fandom.com/wiki/My_Undead_Mummy,Are You My Mummy?,"Bubblegum pop, pop rock",0:47 (Episode)1:06 (Album),8.1,308,13,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireKyle BakerMike Roth",Dan Povenmire,2008-02-15,104a,"While watching a movie with their dad, Phineas and Ferb decide to go in search of a real mummy. Dr. Doofenshmirtz attempts to create some beachfront property."
Betty Jam,https://phineasandferb.fandom.com/wiki/Betty_Jam,Ready for the Bettys,Ballad,NA,NA,NA,14,Bobby GaylorMartin OlsonKent OsborneAliki Theofilopoulos Grafft,Zac Moncrief,2008-02-16,115a,Candace and Stacy get to travel with their favorite band. Phineas and Ferb become secret agents for a day.Guest voice: Lucy Davis as Crash
Phineas and Ferb,https://phineasandferb.fandom.com/wiki/Phineas_and_Ferb_(song),Ready for the Bettys,Jazz,NA,NA,NA,14,Bobby GaylorMartin OlsonKent OsborneAliki Theofilopoulos Grafft,Zac Moncrief,2008-02-16,115a,Candace and Stacy get to travel with their favorite band. Phineas and Ferb become secret agents for a day.Guest voice: Lucy Davis as Crash
Ready for the Bettys,https://phineasandferb.fandom.com/wiki/Ready_for_the_Bettys_(song),Hail Doofania!,"Power pop, pop rock",1:01,8.3,230,43,Bobby GaylorMartin OlsonAntoine GuilbaudAliki Theofilopoulos Grafft,Zac Moncrief,2008-11-07,126b,"Candace and Vanessa accidentally get their clothes switched at the dry cleaners. Dr. Doofenshmirtz builds his own evil empire on an inner tube and Vanessa tries to bust him. Meanwhile, Phineas and Ferb create a rainbowinator to show Isabella her first rainbow."
Busted,https://phineasandferb.fandom.com/wiki/Busted,Phineas and Ferb Musical Cliptastic Countdown,"Pop, R&B",1:16,NA,NA,NA,Jon Colton BarryScott Peterson,Dan Povenmire,2009-10-16,211,"Major Monogram and Heinz Doofenshmirtz host a Top 10 musical countdown from the show, voted by users on DisneyChannel.com and DisneyXD.com, which started on September 1."
Shimmy Jimmy,https://phineasandferb.fandom.com/wiki/Shimmy_Jimmy,Toy to the World,NA,0:24,8.3,276,16,Bobby GaylorMartin OlsonMike DiederichChong Lee,"Jeff ""Swampy"" Marsh",2008-02-22,108b,The Har D Har Toy Company's newest best-seller prompts Phineas and Ferb to make a better toy. Dr. Doofenshmirtz tries to become rich by forcing people to use his tollbooths to get in and out of the Tri-State Area.Guest voice: J.K. Simmons as J.B.
Ferb Tango,https://phineasandferb.fandom.com/wiki/Ferb_Tango,Toy to the World,Tango,NA,8.3,276,16,Bobby GaylorMartin OlsonMike DiederichChong Lee,"Jeff ""Swampy"" Marsh",2008-02-22,108b,The Har D Har Toy Company's newest best-seller prompts Phineas and Ferb to make a better toy. Dr. Doofenshmirtz tries to become rich by forcing people to use his tollbooths to get in and out of the Tri-State Area.Guest voice: J.K. Simmons as J.B.
Quirky Worky Song,https://phineasandferb.fandom.com/wiki/Quirky_Worky_Song,The Mom Attractor,"Scat, pop, gypsy jazz",1:17 (Album),8,134,NA,Martin OlsonAliki Theofilopoulos GrafftJ.G. Orrantia,Robert F. Hughes,2012-05-04,328a,"When the boys ask Candace to decide what they should do for the day, she slyly asks them to invent a device to attract their Mom so that she can finally bust her brothers. Meanwhile, Dr. Doofenshmirtz has invented a ""Baby-Cry-Inator"" designed to tarnish his goodie-two-shoes brother's image with the electorate."
Brick,https://phineasandferb.fandom.com/wiki/Brick_(song),Toy to the World,NA,"0:05 (during ""Toy to the World"")0:31 (during the end credits of ""Toy to the World"")",8.3,276,16,Bobby GaylorMartin OlsonMike DiederichChong Lee,"Jeff ""Swampy"" Marsh",2008-02-22,108b,The Har D Har Toy Company's newest best-seller prompts Phineas and Ferb to make a better toy. Dr. Doofenshmirtz tries to become rich by forcing people to use his tollbooths to get in and out of the Tri-State Area.Guest voice: J.K. Simmons as J.B.
Bigfoot,https://phineasandferb.fandom.com/wiki/Bigfoot_(song),Get That Bigfoot Outa My Face!,"Folk, country",0:38,8,280,17,Dan PovenmireBobby GaylorKent OsborneKim Roberson,Dan Povenmire,2008-02-23,106a,"While visiting their grandparents, Phineas, Ferb and Candace and some friends encounter Bigfoot. Dr. Doofenshmirtz's date is interrupted by Agent P."
Truck Drivin' Girl,https://phineasandferb.fandom.com/wiki/Truck_Drivin%27_Girl,"It's a Mud, Mud, Mud, Mud World",Country rock,1:131:15 Album,8,259,18,Bobby GaylorMartin OlsonMike DiederichMike Roth,Zac Moncrief,2008-02-24,113a,"Phineas and Ferb help Candace learn how to parallel park by building a monster truck track in the backyard. Meanwhile, Dr. Doofenshmirtz is marketing his new line of monster trucks to investors, and proceeds to try and get rid of the competition.Guest voice: Billy Ray Cyrus as Buck Buckerson"
Eggs and Bacon,https://phineasandferb.fandom.com/wiki/Eggs_and_Bacon,Mom's Birthday,"Pop, a cappella",NA,8.3,253,26,"Jeff ""Swampy"" MarshMartin OlsonDan PovenmireKent OsborneAliki Theofilopoulos",Dan Povenmire,2008-05-10,111a,"Phineas, Ferb and Candace come up with different ways to celebrate their mother's birthday. Dr. Doofenshmirtz tries to shrink everything that he hates so he never has to see them."
I Love You Mom,https://phineasandferb.fandom.com/wiki/I_Love_You_Mom,Phineas and Ferb Musical Cliptastic Countdown,Bubblegum Pop,1:00,NA,NA,NA,Jon Colton BarryScott Peterson,Dan Povenmire,2009-10-16,211,"Major Monogram and Heinz Doofenshmirtz host a Top 10 musical countdown from the show, voted by users on DisneyChannel.com and DisneyXD.com, which started on September 1."
Hemoglobin Highway,https://phineasandferb.fandom.com/wiki/Hemoglobin_Highway,Journey to the Center of Candace,NA,0:47,8.3,253,19,Bobby GaylorMartin OlsonKent OsborneKim Roberson,Dan Povenmire,2008-02-29,111b,"Isabella's dog Pinky eats her sash, so the boys build a mini-submarine to retrieve it, except they end up someplace else. Perry is forced to take direct action when Dr. Doofenshmirtz's latest scheme specifically threatens Phineas and Ferb."
When We Didn't Get Along,https://phineasandferb.fandom.com/wiki/When_We_Didn%27t_Get_Along,It's About Time!,Ballad,1:111:40 (album),8.8,345,20,Dan PovenmireJon Colton BarryMike RothKent OsborneAliki Theofilopoulos,Dan Povenmire,2008-03-01,107,"Phineas, Ferb and Candace travel back in time. Dr. Doofenshmirtz doesn't need Perry as a nemesis any more.Guest voice: Carlos Alazraqui as Dr. Feelbetter."
My Nemesis,https://phineasandferb.fandom.com/wiki/My_Nemesis,It's About Time!,"Bubblegum pop, Baroque pop",0:450:59 (Album),8.8,345,20,Dan PovenmireJon Colton BarryMike RothKent OsborneAliki Theofilopoulos,Dan Povenmire,2008-03-01,107,"Phineas, Ferb and Candace travel back in time. Dr. Doofenshmirtz doesn't need Perry as a nemesis any more.Guest voice: Carlos Alazraqui as Dr. Feelbetter."
Fossils,https://phineasandferb.fandom.com/wiki/Fossils,It's About Time!,Jingle,NA,8.8,345,20,Dan PovenmireJon Colton BarryMike RothKent OsborneAliki Theofilopoulos,Dan Povenmire,2008-03-01,107,"Phineas, Ferb and Candace travel back in time. Dr. Doofenshmirtz doesn't need Perry as a nemesis any more.Guest voice: Carlos Alazraqui as Dr. Feelbetter."
History of Rock,https://phineasandferb.fandom.com/wiki/History_of_Rock,"Dude, We're Getting the Band Back Together","Blues, Rock and Roll, Psychedelic Rock, Funk, Heavy Metal (Changes as the song plays), Progressive Rock/Metal",2:01,NA,NA,21,Bobby GaylorMartin OlsonChris HeadrickChong Lee,Dan Povenmire,2008-03-08,114,"Lawrence forgets his wedding anniversary, so Phineas and Ferb help him make it up to Linda by getting their favorite band together for a reunion concert. Meanwhile, Perry helps Doofenshmirtz put together a party for his daughter's Sweet 16. Little does her father know, she's not that sweet anymore.Guest voice: Steve Zahn as Swampy, Jaret Reddick as Danny and Carlos Alazraqui as Bobbi."
It's Your Anniversary Jingle,https://phineasandferb.fandom.com/wiki/It%27s_Your_Anniversary_Jingle,"Dude, We're Getting the Band Back Together",Ballad,NA,NA,NA,21,Bobby GaylorMartin OlsonChris HeadrickChong Lee,Dan Povenmire,2008-03-08,114,"Lawrence forgets his wedding anniversary, so Phineas and Ferb help him make it up to Linda by getting their favorite band together for a reunion concert. Meanwhile, Perry helps Doofenshmirtz put together a party for his daughter's Sweet 16. Little does her father know, she's not that sweet anymore.Guest voice: Steve Zahn as Swampy, Jaret Reddick as Danny and Carlos Alazraqui as Bobbi."
Fabulous,https://phineasandferb.fandom.com/wiki/Fabulous,"Dude, We're Getting the Band Back Together",Disco/House,1:27,NA,NA,21,Bobby GaylorMartin OlsonChris HeadrickChong Lee,Dan Povenmire,2008-03-08,114,"Lawrence forgets his wedding anniversary, so Phineas and Ferb help him make it up to Linda by getting their favorite band together for a reunion concert. Meanwhile, Perry helps Doofenshmirtz put together a party for his daughter's Sweet 16. Little does her father know, she's not that sweet anymore.Guest voice: Steve Zahn as Swampy, Jaret Reddick as Danny and Carlos Alazraqui as Bobbi."
Ain't Got Rhythm,https://phineasandferb.fandom.com/wiki/Ain%27t_Got_Rhythm,"Dude, We're Getting the Band Back Together",Rock,1:57 (episode)  2:16 (album),NA,NA,21,Bobby GaylorMartin OlsonChris HeadrickChong Lee,Dan Povenmire,2008-03-08,114,"Lawrence forgets his wedding anniversary, so Phineas and Ferb help him make it up to Linda by getting their favorite band together for a reunion concert. Meanwhile, Perry helps Doofenshmirtz put together a party for his daughter's Sweet 16. Little does her father know, she's not that sweet anymore.Guest voice: Steve Zahn as Swampy, Jaret Reddick as Danny and Carlos Alazraqui as Bobbi."
You Snuck Your Way Right Into My Heart,https://phineasandferb.fandom.com/wiki/You_Snuck_Your_Way_Right_Into_My_Heart,"Dude, We're Getting the Band Back Together",Hard Rock,2:30,NA,NA,21,Bobby GaylorMartin OlsonChris HeadrickChong Lee,Dan Povenmire,2008-03-08,114,"Lawrence forgets his wedding anniversary, so Phineas and Ferb help him make it up to Linda by getting their favorite band together for a reunion concert. Meanwhile, Perry helps Doofenshmirtz put together a party for his daughter's Sweet 16. Little does her father know, she's not that sweet anymore.Guest voice: Steve Zahn as Swampy, Jaret Reddick as Danny and Carlos Alazraqui as Bobbi."
Music Makes Us Better,https://phineasandferb.fandom.com/wiki/Music_Makes_Us_Better,"Dude, We're Getting the Band Back Together",Glam metal,0:30,NA,NA,21,Bobby GaylorMartin OlsonChris HeadrickChong Lee,Dan Povenmire,2008-03-08,114,"Lawrence forgets his wedding anniversary, so Phineas and Ferb help him make it up to Linda by getting their favorite band together for a reunion concert. Meanwhile, Perry helps Doofenshmirtz put together a party for his daughter's Sweet 16. Little does her father know, she's not that sweet anymore.Guest voice: Steve Zahn as Swampy, Jaret Reddick as Danny and Carlos Alazraqui as Bobbi."
My Goody Two-Shoes Brother,https://phineasandferb.fandom.com/wiki/My_Goody_Two-Shoes_Brother,Tree to Get Ready,Show tune,1:22,8,280,22,"Jeff ""Swampy"" MarshMartin OlsonDan PovenmireMike DiederichChong Lee",Dan Povenmire,2008-03-22,106b,"Phineas and Ferb build a tree house and remodel Candace's old one. Later, they get in a Tree House Fight. Meanwhile, Perry tries to stop Dr. Doofenshmirtz from getting revenge on his brother, Roger.Guest voice: John O'Hurley as Roger Doofenshmirtz."
The Ballad of Badbeard,https://phineasandferb.fandom.com/wiki/Ballad_of_Badbeard,S'Winter,Sea Shanty,0:38,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
My Chariot,https://phineasandferb.fandom.com/wiki/My_Chariot,Greece Lightning,Hard rock,1:13,8.1,266,24,Martin OlsonBobby GaylorAlex AlmaguerChris Headrick,Dan Povenmire,2008-04-19,117a,Phineas and Ferb have a chariot race with their friends. Perry tries to stop Norm from destroying him.Guest voice: John Viener as Norm.
Paul Bunyan,https://phineasandferb.fandom.com/wiki/Paul_Bunyan,Greece Lightning,Jingle,0:04,8.1,266,24,Martin OlsonBobby GaylorAlex AlmaguerChris Headrick,Dan Povenmire,2008-04-19,117a,Phineas and Ferb have a chariot race with their friends. Perry tries to stop Norm from destroying him.Guest voice: John Viener as Norm.
Leave the Busting to Us!,https://phineasandferb.fandom.com/wiki/Leave_the_Busting_to_Us!_(song),Leave the Busting to Us!,Rock,0:18,8.1,266,25,Bobby GaylorMartin OlsonSherm CohenAntoine Guilbaud,Zac Moncrief,2008-04-19,117b,Candace is sure that with the help of a local television show she'll be able to bust her brothers. Dr. Doofenshmirtz recalls his failed magic career and decides to create a new ice age.Guest voice: Vicki Lewis as Lulu and Gwendoline Yeo as Fifi.
Gotta Make Summer Last,https://phineasandferb.fandom.com/wiki/Gotta_Make_Summer_Last,Leave the Busting to Us!,"Pop rock, pop punk","0:29, 0:21, and 0:11",8.1,266,25,Bobby GaylorMartin OlsonSherm CohenAntoine Guilbaud,Zac Moncrief,2008-04-19,117b,Candace is sure that with the help of a local television show she'll be able to bust her brothers. Dr. Doofenshmirtz recalls his failed magic career and decides to create a new ice age.Guest voice: Vicki Lewis as Lulu and Gwendoline Yeo as Fifi.
Ring of Fun,https://phineasandferb.fandom.com/wiki/Ring_of_Fun,Crack That Whip,Surf rock,0:44,8,220,27,Bobby GaylorMartin OlsonTim BjorklundKim Roberson,Dan Povenmire,2008-05-24,118a,"With the help of Phineas and Ferb, two old roller derby rivals hold a grudge match. Dr. Doofenshmirtz has his own grudge against people with beards and mustaches, which includes U.S. President Rutherford B. Hayes.Guest voice: Vicki Lewis as Hildegard"
Do Nothing Day,https://phineasandferb.fandom.com/wiki/Do_Nothing_Day,The Best Lazy Day Ever,"Indie pop, sunshine pop",0:431:39 (Album),8,220,28,Martin OlsonBobby GaylorJon Colton BarryMike Roth,Zac Moncrief,2008-05-24,118b,"Phineas and Ferb decide to do absolutely nothing. Candace realizes without busting her brothers, her life is pretty empty. Doofenshmirtz is tired of being the ugliest person around, so he invents the Uglyinator.Guest voice: Diedrich Bader as Vance Ward"
Happy Sandwich Man,https://phineasandferb.fandom.com/wiki/Happy_Sandwich_Man,"Boyfriend From 27,000 B.C.",Jingle,0:06,NA,NA,29,Martin OlsonAliki TheofilopoulousMarc Crisafulli,Zac Moncrief,2008-06-07,119a,Phineas and Ferb go in search of a caveman while Candace attends a costume party. Dr. Doofenshmirtz wants to get rid of sandwich costumes.
Lookin So Fly,https://phineasandferb.fandom.com/wiki/Lookin_So_Fly,"Boyfriend From 27,000 B.C.",pop,NA,NA,NA,29,Martin OlsonAliki TheofilopoulousMarc Crisafulli,Zac Moncrief,2008-06-07,119a,Phineas and Ferb go in search of a caveman while Candace attends a costume party. Dr. Doofenshmirtz wants to get rid of sandwich costumes.
Fish Out of Water,https://phineasandferb.fandom.com/wiki/Fish_Out_of_Water,Voyage to the Bottom of Buford,"Pop ballad, adult contemporary",1:00,7.6,207,30,Bobby GaylorMartin OlsonAntoine GuilbaudChong Lee,Zac Moncrief,2008-06-07,119b,"After Buford loses his goldfish, Phineas and Ferb help him search for it. An accidental good deed causes Dr. Doofenshmirtz no end of trouble."
Ballad of the Black Knight,https://phineasandferb.fandom.com/wiki/Ballad_of_the_Black_Knight,A Hard Day's Knight,Madrigal,0:31,8,263,31,Bobby GaylorMartin OlsonJon Colton BarryMike Roth,Dan Povenmire,2008-06-14,110a,"The Flynn-Fletchers are in England visiting Lawrence's parents, Reginald and Winifred. Lawrence and Linda head to an antiques convention, leaving Phineas, Ferb, and Candace at their grandparents' small cottage. Agent P infiltrates EvilCon to see what Dr. Doofenshmirtz is up to.Guest voice: Dominic Wood as Charles and Tim Curry as Stubbings."
And the Animals Go,https://phineasandferb.fandom.com/wiki/And_the_Animals_Go,Traffic Cam Caper,"Folk, country",NA,8.2,220,32,Martin OlsonKim RobersonMarc Ceccareilli,Dan PovenmireZac Moncrief,2008-07-12,121a,"A traffic camera in the neighborhood gives Candace photographic proof of her brothers' activities, but Agent P is sent on a mission to destroy those same pictures.Guest voice: John Viener returns as Norm."
Herman the Hedgehog,https://phineasandferb.fandom.com/wiki/Herman_the_Hedgehog_(song),Bowl-R-Ama Drama,Jazz,00:05,NA,NA,33,Bobby GaylorMartin OlsonChris HeadrickAlex Almaguer,Dan Povenmire,2008-07-12,121b,Phineas and Ferb look to set some world records. Dr. Doofenshmirtz dabbles in selling addictive hot chocolate.
Pin Bowlin',https://phineasandferb.fandom.com/wiki/Pin_Bowlin%27,Bowl-R-Ama Drama,Hard rock,1:10,NA,NA,33,Bobby GaylorMartin OlsonChris HeadrickAlex Almaguer,Dan Povenmire,2008-07-12,121b,Phineas and Ferb look to set some world records. Dr. Doofenshmirtz dabbles in selling addictive hot chocolate.
F-Games,https://phineasandferb.fandom.com/wiki/F-Games_(song),Got Game?,Hard rock,1:06 1:30 Album,8.3,230,34,Jon Colton BarryBobby GaylorLance LeCompteMartin OlsonAntoine GuilbaudChong Lee,Zac Moncrief,2008-08-02,125a,Phineas and Ferb create the F-Games to find out who's better: boys or girls? Agent P stops Dr. Doofenshmirtz's plan to win a dog show.
S.I.M.P. (Squirrels In My Pants),https://phineasandferb.fandom.com/wiki/S.I.M.P._(Squirrels_In_My_Pants),Comet Kermillian,Alternative Hip Hop,1:081:33 (Album)1:41 (Countdown),NA,NA,35,Martin OlsonBobby GaylorAlex AlmaguerChris Headrick,Dan Povenmire,2008-08-02,125b,Phineas and Ferb carve pictures of their faces into a comet. Dr. Doofenshmirtz steals all the steaks from the Tri-State Area.
Disco Miniature Golfing Queen,https://phineasandferb.fandom.com/wiki/Disco_Miniature_Golfing_Queen,Put That Putter Away,Disco,1:08,8.6,246,36,Bobby GaylorMartin OlsonJon Colton BarryMike Diederich,Zac Moncrief,2008-08-10,120a,"While Candace is sick in bed, Stacy takes her place and tries to bust Phineas and Ferb for building a gigantic miniature golf course. Meanwhile, Dr. Doofenshmirtz takes a day off from being evil."
Slushy the Clown,https://phineasandferb.fandom.com/wiki/Slushy_the_Clown,Does This Duckbill Make Me Look Fat?,Jingle,0:06,8.6,246,37,Martin OlsonBobby GaylorDouglas McCarthyPiero Piluso,Dan Povenmire,2008-08-10,120b,"After watching an old sci-fi movie, Phineas and Ferb are inspired to create a teleportation device. Dr. Doofenshmirtz has a grudge against a company mascot."
Perry the Teenage Girl,https://phineasandferb.fandom.com/wiki/Perry_the_Teenage_Girl,Does This Duckbill Make Me Look Fat?,Jazz,0:29,8.6,246,37,Martin OlsonBobby GaylorDouglas McCarthyPiero Piluso,Dan Povenmire,2008-08-10,120b,"After watching an old sci-fi movie, Phineas and Ferb are inspired to create a teleportation device. Dr. Doofenshmirtz has a grudge against a company mascot."
